Provisions pour risques d'exploitation,125 651,123 402
Provisions sur engagements hors bilan,14 484,13 760
"",,
Total Provisions pour passifs et charges,140 135,137 162
"",31/12/2022,31/12/2021
Autres produits constatés d’avance,8 824,10 368
"",,
Sièges et succursales,186,-
"",,
Charges à payer,88 638,93 519
"",,
Comptes d’attente à régulariser,136 093,119 154
"",,
Total Comptes d'attente et de régularisation,233 741,223 041
"",31/12/2022,31/12/2021
"Etat, impôts et taxes",170 243,51 086
"",,
Comptes de retenues,38 397,38 427
"",,
Autres créditeurs divers,12 740,9 187
"",,
Total Autres comptes,221 380,98 700
"",,,,,Autres,,Résultat,
"",Capital,Réserve,Autres,Fonds,,Résultats,,
"",,,,,capitaux,,net de,Total
"",Social,légale,réserves,social,,reportés,,
"",,,,,propres,,l'exercice,
Soldes au 31/12/2020,178 500,17 000,638 434,102 483,3,535 664,281 842,1 753 926
Affectation du résultat,-,850,167 000,-,-,113 992,(281 842),-
Dividendes distribués,-,-,-,-,-,(178 500),-,(178 500)
Fonds social,-,-,,494,-,-,-,494
"",,,,,,,,
Résultat net de l'exercice 2021,-,-,-,-,-,-,266 840,266 840
Solde au 31/12/2021,178 500,17 850,805 434,102 977,3,471 156,266 840,1 842 760
Affectation du résultat,-,-,137 160,-,-,129 680,(266 840),-
Dividendes distribués,-,-,-,-,-,(185 640),-,(185 640)
Fonds social,-,-,-,454,-,-,-,454
Résultat net de l'exercice 2022,-,-,-,-,-,-,299 676,299 676
Solde au 31/12/2022,178 500,17 850,942 594,103 431,3,415 196,299 676,1 957 250
Chiffres en dinar tunisien,31/12/2022,31/12/2021
Résultat net de l'exercice,299 676 100,266 839 752
"",,
Nombre d'actions ordinaires en circulation début de la période,35 700 000,17 850 000
"",,
Nombre d'actions ordinaires en circulation fin de la période,35 700 000,35 700 000
"",,
Nombre d'actions ordinaires moyen pondéré,35 700 000,35 700 000
"",,
Résultat de base par action en dinars,"8,394","7,475"
"",Entreprises,Entreprises,Co-,,
"",,,,Autres,31/12/2022
"",liées,associées,entreprise,,
Cautions et avals en faveur des établissements bancaires et,,,,,
"",-,-,-,290 032,290 032
financiers,,,,,
Cautions et avals en faveur de la clientèle,1 513,-,-,1 923 359,1 924 872
"",,,,,
Total,1 513,-,-,2 213 391,2 214 904
"",Entreprises,Entreprises,Co-,,
"",,,,Autres,31/12/2022
"",liées,associées,entreprise,,
Credoc en faveur de la clientèle,-,-,-,800 441,800 441
"",,,,,
Credoc import,-,-,-,233 958,233 958
"",,,,,
Total,-,-,-,1 034 399,1 034 399
"",Entreprises,Entreprises,Co-,,
"",,,,Autres,31/12/2022
"",liées,associées,entreprise,,
Engagements de financements donnés aux clientèles,11 500,-,-,1 334 440,1 345 940
Total,11 500,-,-,1 334 440,1 345 940
"",31/12/2022,31/12/2021
Garanties reçus de établissements financiers,556 181,556 185
Garanties reçus de l'Etat,28 658,39 597
"",,
Garanties reçus de la clientèle,4 505 928,4 291 010
"",,
Total Garanties reçues,5 090 767,4 886 792
"",,,,,Actifs,
"",Actifs courants,Actifs classés,31/12/2021,Actifs courants,,31/12/2022
"",,,,,classés,
POD,49 071,1 796,50 867,26 017,1 353,27 370
"",,,,,,
Hypothèques,3 138 079,362 747,3 500 826,3 416 079,355 073,3 771 152
"",,,,,,
Dépôts,175 733,2 270,178 003,182 066,2 306,184 372
"",,,,,,
Actifs Financiers,-,553 134,1 779,554 913,10 564,515 146
"",,,,,,
Assurance,93,-,93,64,-,64
"",,,,,,
Garanties de l'ETAT,-,13 334,586,13 920,586,6 142
"",,,,,,
Garanties des Banques,-,539 417,1 266,540 683,1 266,530 368
"",,,,,,
FNG,8 339,2 679,11 018,7 087,1 701,8 788
"",,,,,,
Autres organismes,-,6 654,8 005,14 659,7 817,13 728
"",,,,,,
Avals des Banques,-,12 059,-,12 059,-,21 594
"",,,,,,
COTUNACE,3 350,-,3 350,4 154,-,4 154
"",,,,,,
AUTRES GARANTIES,-,-,6 402,6 402,7 889,7 889
"",,,,,,
Total,4 499 263,387 529,4 886 792,4 702 212,388 555,5 090 767
"",31/12/2022,31/12/2021
"",,
Opérations de change au comptant,380 007,159 827
"",,
Dinars achetés non encore reçus,91 339,43 532
"",,
Devises achetées non encore reçues,99 062,37 003
"",,
Dinars vendus non encore livrés,25 263,8 772
"",,
Devises vendues non encore livrées,164 343,70 520
"",,
Opérations de change à terme,1 034 392,698 779
"",,
Dinars à recevoir,481 480,300 795
"",,
Devises à recevoir,45 228,54 676
"",,
Dinars à livrer,45 885,55 974
"",,
Devises à livrer,461 799,287 334
"",,
Swaps devises/ dinars,26 425,987 700
"",,
Autres opérations en devises,14 554,7 985
"",,
Report/ déport non couru,14 554,7 985
"",31/12/2022,31/12/2021
Intérêts sur comptes ordinaires banques,584,180
Intérêts sur comptes de prêts interbancaires,35 869,18 459
"",,
Intérêts sur crédits à la clientèle,926 870,812 245
"",,
Intérêts sur comptes débiteurs à la clientèle,119 182,115 416
"",,
Intérêts et produits assimilés sur engagements de garantie,31 532,29 499
"",,
Autres intérêts et revenus assimilés,41 093,21 593
"",,
Total Intérêts et revenus assimilés,1 155 130,997 392
"",31/12/2022,31/12/2021
Commission sur opérations de change,2 670,1 889
Commission sur engagements de financement,51 649,53 478
"",,
Commission sur engagement de garantie,13 928,12 599
"",,
Commission sur prestations de services financiers,95 801,75 215
"",,
Commissions sur autres opérations bancaires,89 532,82 348
"",,
Total Commissions (en produits),253 580,225 529
"",,31/12/2022,31/12/2021
Revenus des titres de transaction,(a),2 030,9 399
Revenus sur titres de placement,,242,64
"",,,
Gains sur opérations de change et d'arbitrage,(b),204 564,127 326
Total Gains sur portefeuille-titres commercial et opérations financières,,206 836,136 789
"",31/12/2022,31/12/2021
Intérêts des titres de transaction,1 662,9 111
"",,
Plus ou moins-value de cession ou de remboursement,59,331
"",,
Plus ou moins-value de réévaluation des titres BTA,309,(43)
"",,
Total Revenus des titres de transaction,2 030,9 399
"",31/12/2022,31/12/2021
Intérêts et revenus des titres d'investissement,218 073,158 323
Revenus des parts dans les entreprises liées,25 551,23 305
"",,
Revenus des titres participation,11 764,4 605
"",,
Total Revenus du portefeuille d'investissement,255 388,186 233
"",31/12/2022,31/12/2021
Intérêts sur comptes ordinaires banques,2 251,2 500
Intérêts sur comptes d’emprunts interbancaires,764,2 443
"",,
Intérêts sur dépôts de la clientèle,522 974,470 310
"",,
Intérêts sur emprunt obligataire et subordonné,49 303,34 552
"",,
Intérêts sur ressources spéciales,2 423,1 862
"",,
Autres intérêts et charges,17 583,13 287
"",,
Total Intérêts encourus et charges assimilées,595 298,524 954
"",31/12/2022,31/12/2021
Commissions sur opérations de trésorerie et opérations interbancaires,7 277,5 421
"",,
Commissions sur autres opérations,1 213,102
Total Commissions encourues,8 490,5 523
"",,31/12/2022,31/12/2021
Dotation aux provisions sur créances de la clientèle,,(307 305),(179 505)
Dotation aux provisions pour risques et charges,*,(7 800),(44 597)
"",,,
Total des dotations,,(315 105),(224 102)
Pertes sur créances,,(47 418),(55 879)
"",,,
Total des dotations et des pertes sur créances,,(362 523),(279 981)
Reprise de provisions sur créances de la clientèle,,72 986,81 218
"",,,
Reprise de provisions pour pertes et charges,,6 338,7 788
"",,,
Total des reprises,,79 324,89 006
Récupérations créances passées en perte,,242,143
"",,,
Total des reprises et des récupérations sur créances,,79 566,89 149
Solde,,(282 957),(190 832)
"",31/12/2022,31/12/2021
"Dotation aux provisions sur titres de participation, portage et des fonds gérés",(3 100),(11 501)
Dotation aux provisions sur les parts des entreprises liées et co-entreprises,(2 399),-
Total des dotations,(5 499),(11 501)
Charges et pertes sur titres,(11 888),(9 688)
Total des dotations et des pertes,(17 387),(21 189)
"Reprise de provisions sur titres de participation, portage et fonds gérés",-,-
Reprise de provisions sur les parts des entreprises liées et co-entreprises,2 510,2 752
Plus-value de cession des titres de participation,5 121,1 574
Total des reprises,7 631,4 326
Total des reprises et des récupérations,7 631,4 326
Solde,(9 756),(16 863)
"",31/12/2022,31/12/2021
Frais d'exploitation non bancaires,64 305,59 751
Autres charges générales d'exploitation,125 528,111 208
Total Charges générales d'exploitation,189 833,170 959
"",31/12/2022,31/12/2021
Dotations aux amortissements des immobilisations incorporelles,4 402,4 177
Dotations aux amortissements des immobilisations corporelles,19 336,19 498
"",,
Dotations aux amortissements des charges reportées,20 911,16 424
"",,
Total,44 649,40 099
"",31/12/2022,31/12/2021
Moins-values de cession d'immobilisations,(43),(11)
"",,
Autres pertes et gains ordinaires,(6),(591)
+value de cession d'immobilisation,37,136
"",,
Total Solde en gain/perte provenant des autres éléments ordinaires,(12),(466)
Désignation,31/12/2022
Produits d'exploitation bancaire,(58)
Dépôts de la clientèle,(72 334)
Prêts et avances accordés à la clientèle,51 948
Sommes versées au personnel et créditeurs divers,1 019
Emission et remboursements d'emprunts,(6)
Autres flux de trésorerie provenant des activités d’exploitation,(19 378)
"",
Variation nette,(38 809)
"",31/12/2022,31/12/2021
Liquidités en TND,,
"",,
Caisse dinars,151 401,137 515
"",,
Correspondants débiteurs et placements chez la BCT,20 385,37 510
"",,
Correspondants créditeurs,(891),(955)
"",,
Equivalents de liquidités débiteurs,7 379,6 978
"",,
Equivalents de liquidités créditeurs,(8 715),(12 298)
Total des liquidités en TND,169 559,168 750
Liquidités en devises,,
"",,
Caisse en devise,63 859,48 083
"",,
Correspondants débiteurs et placements chez la BCT,145 695,1 195 280
"",,
Correspondants créditeurs,(185 554),(119 393)
"",,
Total des liquidités en devises,24 000,1 123 970
"",,
"",,
Placements en devises et en DT,2 811 832,1 227 307
Titres de transactions,34 834,14 445
"",,
Emprunt dinars,(381 000),-
Liquidités et équivalents de liquidités,2 659 225,2 534 472
5.,"La BIAT a conclu, en 2014, avec la société « CIAR » une convention de détachement de cadres. Outre les salaires,"
"","compléments de salaires et avantages, la facturation de la BIAT à la CIAR comprend une marge de 5%."
"","Le montant inscrit parmi les transferts de charge de la BIAT en 2022, s’élève à 1.115.820 dinars."
6.,"La BIAT a conclu, en novembre 2014, avec la société « CIAR » un contrat de mandat aux fins de recouvrement de"
"",ses créances.
"","Ce contrat qui a fait l’objet de deux avenants, le premier en 2015 et le second en 2017, stipule dans son objet que"
"",la BIAT donne un mandat à la « CIAR » qui accepte d’agir en son nom et pour son compte afin de recouvrir ses
"",créances auprès de ses clients.
"","En contrepartie de ses prestations, la « CIAR » perçoit une rémunération fixée comme suit :"
"", Frais fixes : 50 dinars par dossier payés 60 jours à partir de la date de procuration.
"", Frais variables : 12% sur la totalité des sommes recouvrées y compris les intérêts de retard.
"",Ces modalités de rémunérations s’appliquent à partir du 21 juillet 2017.
"","Le montant facturé par la CIAR, en 2022, s’élève à 577.130 dinars."
7.,"La BIAT a conclu, en 2014, avec la société « CIAR » une convention d’assistance comptable et administrative."
"","En contrepartie de cette mission, la BIAT perçoit une rémunération annuelle d’un montant de 18 KDT en HT."
"",Cette rémunération a été reconduite en vertu de l’avenant signé en décembre 2016.
8.,"La BIAT a signé, en 2016, avec la société « CIAR » un contrat de sous-location d’un ensemble des espaces de"
"",l’immeuble situé à l’angle de la rue de Radhia Haddad et de la rue d’Hollande.
"","Cette sous-location est consentie et acceptée pour une période de trois années consécutives, commençant le"
"","1erSeptembre 2016 et finissant le 31 juillet 2019, renouvelable par tacite reconduction pour une nouvelle période de"
"",trois années jusqu’à ce qu’un congé soit signifié par l’une des deux parties ou à l’arrivé du terme du bail principal.
"","Cette location a été consentie et acceptée moyennant un loyer mensuel de 6.562,500 dinars HTVA, payable"
"",trimestriellement et d'avance.
"","A compter du 1er août 2017, une majoration annuelle cumulative de 5% est appliquée."
"","A partir du mois de novembre 2018, un avenant a été signé, prévoyant l’extension de l’ensemble des espaces loués"
"",de trois bureaux situés au deuxième étage de l’immeuble sis à rue de Radhia Haddad. A partir du 1er novembre
"",2018 et jusqu’au 31 juillet 2019 le loyer mensuel relatif à la totalité des espaces loués à la « CIAR » sera de
"","9.337,431 dinars H.TVA. A compter du 1er aout 2019, une majoration annuelle cumulative du loyer sera appliquée"
"",au taux annuel de 5%.
"","Le montant inscrit parmi les produits de la BIAT, en 2022, s’élève à 132.413 dinars."
9.,"La BIAT a conclu, en 2022, avec la Compagnie Internationale Arabe de Recouvrement « CIAR », deux conventions"
"AnnéeMontantEncoursCharged'exonération  Fondsen KDTFY22FY22 HTConditions de rémunération2 021Fonds régional 2022-115 00015 00059  La BIAT CAPITAL RISQUE perçoit à titre de2 021Fonds régional 2022-215 00015 00059  rémunération une commission de gestion de2 021Fonds régional 2022-315 00015 00059  :2 021Fonds régional 2022-415 00015 00059  -0,5% H.T par an sur les montants placés2 021Fonds régional 2022-515 00015 00059et ce, pendant la période de blocage ;2 021Fonds Industrie 2022-115 00015 00059  -1,75% H.T par an sur les montants2 021Fonds Industrie 2022-215 00015 00059investis, entre la date de libération des2 021Fonds Industrie 2022-315 00015 00059fonds et la fin de la septième année quisuit celle de la libération. Passée la2 021Fonds Industrie 2022-415 00015 00059période de blocage, la commission est2 021Fonds Industrie 2022-515 00015 00059perçue à terme échu sur l’encours ;2 021Fonds Industrie 2022-610 00010 00039  -1% H.T par an sur les montants investis,2 021Fonds Régional-Agricole20 00020 00079entre la fin de la septième année et la2022dixième année.2 020Fonds Industrie 2021-110 00010 0001092 020Fonds Industrie 2021-210 00010 000117  Au cas où la BIAT CAPITAL RISQUE2 020Fonds Industrie 2021-310 00010 00080  atteindrait un rendement supérieur au TMMmoyen de la période, elle aura droit à une  2 020Fonds Industrie 2021-410 00010 00070commission de performance qui sera2 020Fonds Industrie 2021-510 00010 00070calculée selon un barème.2 020Fonds Industrie 2021-610 00010 000702 020Fonds Industrie 2021-710 00010 000702 020Fonds Industrie 2021-810 00010 000702 020Fonds Industrie 2021-910 00010 000702 020Fonds Industrie 2021-1010 00010 000702 020Fonds Régional 2021-110 00010 000702 020Fonds Régional 2021-210 00010 000702 020Fonds Régional 2021-310 00010 000632 020Fonds Régional 2021-410 00010 000502 020Fonds Régional 2021-510 00010 000502 020Fonds Régional 2021-610 00010 000502 020Fonds Régional 2021-77 0007 000492 019Fonds Régional 2020-110 00010 0001392 019Fonds Régional 2020-210 00010 0001392 019Fonds Régional 2020-310 00010 0001392 019Fonds Régional 2020-414 25214 2521972 019Fonds Industrie 2020-110 00010 0001542 019Fonds Industrie 2020-210 00010 0001552 019Fonds Industrie 2020-310 00010 0001442 019Fonds Industrie 2020-410 00010 0001362 019Fonds Industrie 2020-510 00010 0001382 018Fonds Régional 2019-110 00010 0001752 018Fonds Régional 2019-210 00010 0001752 018Fonds Régional 2019-310 00010 0001752 018Fonds Régional 2019-410 00010 0001752 018Fonds Régional 2019-510 00010 0001752 018Fonds Industrie 2019-110 00010 0001752 018Fonds Industrie 2019-29 6009 6001432 018Fonds Industrie 2019-310 00010 0001542 018Fonds Industrie 2019-415 45015 4502332 018Fonds Industrie 2019-537 58037 5805802 018Fonds Industrie 2019-69 2309 2301412 018Fonds Industrie 2019-710 76010 7601622 018Fonds Industrie 2019-86 9206 9201052 018Fonds Industrie 2019-96 1506 150932 018Fonds Industrie 2019-104 0654 065612 017Fonds Industrie 2018-110 00010 0001562 017Fonds Industrie 2018-210 00010 0001622 017Fonds Industrie 2018-310 00010 00013734",,,,,
"Annéed'exonération",Fonds,"Montanten KDT","EncoursFY22","ChargeFY22 HT",Conditions de rémunération
2 021,Fonds régional 2022-1,15 000,15 000,59,"La BIAT CAPITAL RISQUE perçoit à titre derémunération une commission de gestion de:-0,5% H.T par an sur les montants placéset ce, pendant la période de blocage ;-1,75% H.T par an sur les montantsinvestis, entre la date de libération desfonds et la fin de la septième année quisuit celle de la libération. Passée lapériode de blocage, la commission estperçue à terme échu sur l’encours ;-1% H.T par an sur les montants investis,entre la fin de la septième année et ladixième année.Au cas où la BIAT CAPITAL RISQUEatteindrait un rendement supérieur au TMMmoyen de la période, elle aura droit à unecommission de performance qui seracalculée selon un barème."
2 021,Fonds régional 2022-2,15 000,15 000,59,
2 021,Fonds régional 2022-3,15 000,15 000,59,
2 021,Fonds régional 2022-4,15 000,15 000,59,
2 021,Fonds régional 2022-5,15 000,15 000,59,
2 021,Fonds Industrie 2022-1,15 000,15 000,59,
2 021,Fonds Industrie 2022-2,15 000,15 000,59,
2 021,Fonds Industrie 2022-3,15 000,15 000,59,
2 021,Fonds Industrie 2022-4,15 000,15 000,59,
2 021,Fonds Industrie 2022-5,15 000,15 000,59,
2 021,Fonds Industrie 2022-6,10 000,10 000,39,
2 021,"Fonds Régional-Agricole2022",20 000,20 000,79,
2 020,Fonds Industrie 2021-1,10 000,10 000,109,
2 020,Fonds Industrie 2021-2,10 000,10 000,117,
2 020,Fonds Industrie 2021-3,10 000,10 000,80,
2 020,Fonds Industrie 2021-4,10 000,10 000,70,
2 020,Fonds Industrie 2021-5,10 000,10 000,70,
2 020,Fonds Industrie 2021-6,10 000,10 000,70,
2 020,Fonds Industrie 2021-7,10 000,10 000,70,
2 020,Fonds Industrie 2021-8,10 000,10 000,70,
2 020,Fonds Industrie 2021-9,10 000,10 000,70,
2 020,Fonds Industrie 2021-10,10 000,10 000,70,
2 020,Fonds Régional 2021-1,10 000,10 000,70,
2 020,Fonds Régional 2021-2,10 000,10 000,70,
2 020,Fonds Régional 2021-3,10 000,10 000,63,
2 020,Fonds Régional 2021-4,10 000,10 000,50,
2 020,Fonds Régional 2021-5,10 000,10 000,50,
2 020,Fonds Régional 2021-6,10 000,10 000,50,
2 020,Fonds Régional 2021-7,7 000,7 000,49,
2 019,Fonds Régional 2020-1,10 000,10 000,139,
2 019,Fonds Régional 2020-2,10 000,10 000,139,
2 019,Fonds Régional 2020-3,10 000,10 000,139,
2 019,Fonds Régional 2020-4,14 252,14 252,197,
2 019,Fonds Industrie 2020-1,10 000,10 000,154,
2 019,Fonds Industrie 2020-2,10 000,10 000,155,
2 019,Fonds Industrie 2020-3,10 000,10 000,144,
2 019,Fonds Industrie 2020-4,10 000,10 000,136,
2 019,Fonds Industrie 2020-5,10 000,10 000,138,
2 018,Fonds Régional 2019-1,10 000,10 000,175,
2 018,Fonds Régional 2019-2,10 000,10 000,175,
2 018,Fonds Régional 2019-3,10 000,10 000,175,
2 018,Fonds Régional 2019-4,10 000,10 000,175,
2 018,Fonds Régional 2019-5,10 000,10 000,175,
2 018,Fonds Industrie 2019-1,10 000,10 000,175,
2 018,Fonds Industrie 2019-2,9 600,9 600,143,
2 018,Fonds Industrie 2019-3,10 000,10 000,154,
2 018,Fonds Industrie 2019-4,15 450,15 450,233,
2 018,Fonds Industrie 2019-5,37 580,37 580,580,
2 018,Fonds Industrie 2019-6,9 230,9 230,141,
2 018,Fonds Industrie 2019-7,10 760,10 760,162,
2 018,Fonds Industrie 2019-8,6 920,6 920,105,
2 018,Fonds Industrie 2019-9,6 150,6 150,93,
2 018,Fonds Industrie 2019-10,4 065,4 065,61,
2 017,Fonds Industrie 2018-1,10 000,10 000,156,
2 017,Fonds Industrie 2018-2,10 000,10 000,162,
2 017,Fonds Industrie 2018-3,10 000,10 000,137,
"AnnéeMontantEncoursCharged'exonération  Fondsen KDTFY22FY22 HTConditions de rémunération2 021Fonds régional 2022-115 00015 00059  La BIAT CAPITAL RISQUE perçoit à titre de2 021Fonds régional 2022-215 00015 00059  rémunération une commission de gestion de2 021Fonds régional 2022-315 00015 00059  :2 021Fonds régional 2022-415 00015 00059  -0,5% H.T par an sur les montants placés2 021Fonds régional 2022-515 00015 00059et ce, pendant la période de blocage ;2 021Fonds Industrie 2022-115 00015 00059  -1,75% H.T par an sur les montants2 021Fonds Industrie 2022-215 00015 00059investis, entre la date de libération des2 021Fonds Industrie 2022-315 00015 00059fonds et la fin de la septième année quisuit celle de la libération. Passée la2 021Fonds Industrie 2022-415 00015 00059période de blocage, la commission est2 021Fonds Industrie 2022-515 00015 00059perçue à terme échu sur l’encours ;2 021Fonds Industrie 2022-610 00010 00039  -1% H.T par an sur les montants investis,2 021Fonds Régional-Agricole20 00020 00079entre la fin de la septième année et la2022dixième année.2 020Fonds Industrie 2021-110 00010 0001092 020Fonds Industrie 2021-210 00010 000117  Au cas où la BIAT CAPITAL RISQUE2 020Fonds Industrie 2021-310 00010 00080  atteindrait un rendement supérieur au TMMmoyen de la période, elle aura droit à une  2 020Fonds Industrie 2021-410 00010 00070commission de performance qui sera2 020Fonds Industrie 2021-510 00010 00070calculée selon un barème.2 020Fonds Industrie 2021-610 00010 000702 020Fonds Industrie 2021-710 00010 000702 020Fonds Industrie 2021-810 00010 000702 020Fonds Industrie 2021-910 00010 000702 020Fonds Industrie 2021-1010 00010 000702 020Fonds Régional 2021-110 00010 000702 020Fonds Régional 2021-210 00010 000702 020Fonds Régional 2021-310 00010 000632 020Fonds Régional 2021-410 00010 000502 020Fonds Régional 2021-510 00010 000502 020Fonds Régional 2021-610 00010 000502 020Fonds Régional 2021-77 0007 000492 019Fonds Régional 2020-110 00010 0001392 019Fonds Régional 2020-210 00010 0001392 019Fonds Régional 2020-310 00010 0001392 019Fonds Régional 2020-414 25214 2521972 019Fonds Industrie 2020-110 00010 0001542 019Fonds Industrie 2020-210 00010 0001552 019Fonds Industrie 2020-310 00010 0001442 019Fonds Industrie 2020-410 00010 0001362 019Fonds Industrie 2020-510 00010 0001382 018Fonds Régional 2019-110 00010 0001752 018Fonds Régional 2019-210 00010 0001752 018Fonds Régional 2019-310 00010 0001752 018Fonds Régional 2019-410 00010 0001752 018Fonds Régional 2019-510 00010 0001752 018Fonds Industrie 2019-110 00010 0001752 018Fonds Industrie 2019-29 6009 6001432 018Fonds Industrie 2019-310 00010 0001542 018Fonds Industrie 2019-415 45015 4502332 018Fonds Industrie 2019-537 58037 5805802 018Fonds Industrie 2019-69 2309 2301412 018Fonds Industrie 2019-710 76010 7601622 018Fonds Industrie 2019-86 9206 9201052 018Fonds Industrie 2019-96 1506 150932 018Fonds Industrie 2019-104 0654 065612 017Fonds Industrie 2018-110 00010 0001562 017Fonds Industrie 2018-210 00010 0001622 017Fonds Industrie 2018-310 00010 00013734",,,,,
"Annéed'exonération",Fonds,"Montanten KDT","EncoursFY22","ChargeFY22 HT",Conditions de rémunération
2 021,Fonds régional 2022-1,15 000,15 000,59,"La BIAT CAPITAL RISQUE perçoit à titre derémunération une commission de gestion de:-0,5% H.T par an sur les montants placéset ce, pendant la période de blocage ;-1,75% H.T par an sur les montantsinvestis, entre la date de libération desfonds et la fin de la septième année quisuit celle de la libération. Passée lapériode de blocage, la commission estperçue à terme échu sur l’encours ;-1% H.T par an sur les montants investis,entre la fin de la septième année et ladixième année.Au cas où la BIAT CAPITAL RISQUEatteindrait un rendement supérieur au TMMmoyen de la période, elle aura droit à unecommission de performance qui seracalculée selon un barème."
2 021,Fonds régional 2022-2,15 000,15 000,59,
2 021,Fonds régional 2022-3,15 000,15 000,59,
2 021,Fonds régional 2022-4,15 000,15 000,59,
2 021,Fonds régional 2022-5,15 000,15 000,59,
2 021,Fonds Industrie 2022-1,15 000,15 000,59,
2 021,Fonds Industrie 2022-2,15 000,15 000,59,
2 021,Fonds Industrie 2022-3,15 000,15 000,59,
2 021,Fonds Industrie 2022-4,15 000,15 000,59,
2 021,Fonds Industrie 2022-5,15 000,15 000,59,
2 021,Fonds Industrie 2022-6,10 000,10 000,39,
2 021,"Fonds Régional-Agricole2022",20 000,20 000,79,
2 020,Fonds Industrie 2021-1,10 000,10 000,109,
2 020,Fonds Industrie 2021-2,10 000,10 000,117,
2 020,Fonds Industrie 2021-3,10 000,10 000,80,
2 020,Fonds Industrie 2021-4,10 000,10 000,70,
2 020,Fonds Industrie 2021-5,10 000,10 000,70,
2 020,Fonds Industrie 2021-6,10 000,10 000,70,
2 020,Fonds Industrie 2021-7,10 000,10 000,70,
2 020,Fonds Industrie 2021-8,10 000,10 000,70,
2 020,Fonds Industrie 2021-9,10 000,10 000,70,
2 020,Fonds Industrie 2021-10,10 000,10 000,70,
2 020,Fonds Régional 2021-1,10 000,10 000,70,
2 020,Fonds Régional 2021-2,10 000,10 000,70,
2 020,Fonds Régional 2021-3,10 000,10 000,63,
2 020,Fonds Régional 2021-4,10 000,10 000,50,
2 020,Fonds Régional 2021-5,10 000,10 000,50,
2 020,Fonds Régional 2021-6,10 000,10 000,50,
2 020,Fonds Régional 2021-7,7 000,7 000,49,
2 019,Fonds Régional 2020-1,10 000,10 000,139,
2 019,Fonds Régional 2020-2,10 000,10 000,139,
2 019,Fonds Régional 2020-3,10 000,10 000,139,
2 019,Fonds Régional 2020-4,14 252,14 252,197,
2 019,Fonds Industrie 2020-1,10 000,10 000,154,
2 019,Fonds Industrie 2020-2,10 000,10 000,155,
2 019,Fonds Industrie 2020-3,10 000,10 000,144,
2 019,Fonds Industrie 2020-4,10 000,10 000,136,
2 019,Fonds Industrie 2020-5,10 000,10 000,138,
2 018,Fonds Régional 2019-1,10 000,10 000,175,
2 018,Fonds Régional 2019-2,10 000,10 000,175,
2 018,Fonds Régional 2019-3,10 000,10 000,175,
2 018,Fonds Régional 2019-4,10 000,10 000,175,
2 018,Fonds Régional 2019-5,10 000,10 000,175,
2 018,Fonds Industrie 2019-1,10 000,10 000,175,
2 018,Fonds Industrie 2019-2,9 600,9 600,143,
2 018,Fonds Industrie 2019-3,10 000,10 000,154,
2 018,Fonds Industrie 2019-4,15 450,15 450,233,
2 018,Fonds Industrie 2019-5,37 580,37 580,580,
2 018,Fonds Industrie 2019-6,9 230,9 230,141,
2 018,Fonds Industrie 2019-7,10 760,10 760,162,
2 018,Fonds Industrie 2019-8,6 920,6 920,105,
2 018,Fonds Industrie 2019-9,6 150,6 150,93,
2 018,Fonds Industrie 2019-10,4 065,4 065,61,
2 017,Fonds Industrie 2018-1,10 000,10 000,156,
2 017,Fonds Industrie 2018-2,10 000,10 000,162,
2 017,Fonds Industrie 2018-3,10 000,10 000,137,
